Initial temperature;Pressure;phi;cjspeed;Final Temperature;Final pressure;density;af speed;ae speed
1000;101325;1;2299,636825;3655,118972;9,892845573;0,690565441;1339,758818;1280,504301
1000;131722;1;2312,677027;3706,207554;12,99685787;0,898019153;1345,819793;1287,947133
1000;162120;1;2323,021292;3747,410416;16,13386699;1,105779425;1350,638026;1293,880365
1000;192517;1;2331,599302;3781,256912;19,25172998;1,311016615;1354,438113;1298,620037
1000;222915;1;2338,920765;3810,920845;22,41619234;1,517920738;1357,799134;1302,786674
1000;253312;1;2345,308058;3837,032798;25,59688342;1,724808427;1360,727498;1306,424999
1000;283710;1;2350,972436;3860,373151;28,791955;1,931688006;1363,321013;1309,653293
1000;314107;1;2356,060083;3881,487227;31,99969637;2,138548786;1365,647731;1312,554124
1000;344505;1;2360,677393;3900,774376;35,21908426;2,345405402;1367,757058;1315,187663
1000;374902;1;2364,90329;3918,53245;38,44890061;2,55224577;1369,685647;1317,599457
1000;405300;1;2368,798813;3934,993124;41,68850425;2,75908422;1371,461797;1319,822196
;;;;;;;;
;;;;;;;;
Initial temperature;Pressure;phi;cjspeed;Final Temperature;Final pressure;density;af speed;ae speed
1000;101325;1;2299,636825;3655,118972;9,892845573;0,690565441;1339,758818;1280,504301
1100;101325;1;2294,892964;3651,105192;9,001107056;0,624704113;1344,757313;1284,198967
1200;101325;1;2290,753908;3648,710217;8,261373561;0,56979274;1350,105639;1288,246502
1300;101325;1;2287,138901;3647,758906;7,64085665;0,523477101;1355,79047;1292,628385
1400;101325;1;2283,981305;3648,040743;7,114041084;0,483940817;1361,778725;1297,302426
1500;101325;1;2281,224076;3649,076915;6,655126484;0,449422339;1367,955354;1302,159797
1600;101325;1;2278,82262;3650,746112;6,251626744;0,419016533;1374,299177;1307,175144
1700;101325;1;2276,732617;3653,341462;5,901802427;0,392487396;1380,904997;1312,441145
1800;101325;1;2274,919295;3656,504339;5,591692828;0,368900055;1387,678786;1317,859384
1900;101325;1;2273,351331;3660,182717;5,315464657;0,347823868;1394,611743;1323,420071
2000;101325;1;2272,000786;3664,221312;5,066456923;0,328797671;1401,663518;1329,088616
;;;;;;;;
;;;;;;;;
Initial temperature;Pressure;phi;cjspeed;Final Temperature;Final pressure;density;af speed;ae speed
1000;101325;0,2;1655,01943;2939,650821;5,361443835;0,664521457;1006,384959;966,7072596
1000;101325;0,6;2055,310836;3489,198857;8,039651053;0,68636181;1209,730148;1156,060522
1000;101325;1;2299,636825;3655,118972;9,892845573;0,690565441;1339,758818;1280,504301
1000;101325;1,4;2470,047534;3684,636834;11,26419742;0,690267266;1433,027136;1369,831357
1000;101325;1,8;2577,18214;3598,98186;12,11907053;0,687101203;1494,057278;1430,244836
1000;101325;2,2;2623,626469;3409,070354;12,40813339;0,681236863;1523,705642;1464,46088
1000;101325;2,6;2618,38273;3147,399194;12,19608119;0,673069397;1526,271987;1475,826678
1000;101325;3;2568,741169;2836,991844;11,55202869;0,662096576;1505,188844;1468,589626
1000;101325;3,4;2473,376568;2483,409425;10,51411785;0,648420515;1459,695599;1441,222323
1000;101325;3,8;2302,813824;2138,977279;9,112948243;0,640636694;1367,348434;1356,182137
